date,sentiment_mean,positive_count,negative_count,article_count,source
2024-12-25,0.2049,0,0,1,historic_data_indic_finance
2024-12-26,0.3622,0,0,1,historic_data_indic_finance
2024-12-30,-0.9496,0,1,1,historic_data_indic_finance
2024-12-31,0.44789999999999996,1,0,2,historic_data_indic_finance
2025-01-02,0.135,0,0,1,historic_data_indic_finance
2025-01-03,0.4931,1,0,1,historic_data_indic_finance
2025-01-09,0.763,1,0,1,historic_data_indic_finance
2025-01-10,-0.5692,1,3,4,historic_data_indic_finance
2025-01-13,-0.9319333333333333,0,3,3,historic_data_indic_finance
2025-01-18,0.3002,0,0,1,historic_data_indic_finance
2025-01-22,-0.918,0,1,1,historic_data_indic_finance
2025-01-24,-0.023599999999999996,0,0,1,historic_data_indic_finance
2025-01-28,0.6524,2,0,3,historic_data_indic_finance
2025-01-31,0.9376,1,0,1,historic_data_indic_finance
2025-02-01,0.9459,3,0,3,historic_data_indic_finance
2025-02-05,0.30310000000000004,1,0,2,historic_data_indic_finance
2025-02-07,0.026,0,0,1,historic_data_indic_finance
2025-02-08,-0.0785,0,0,1,historic_data_indic_finance
2025-02-11,-0.9616,0,1,1,historic_data_indic_finance
2025-02-16,0.1013,0,0,1,historic_data_indic_finance
2025-02-18,0.0469,0,0,1,historic_data_indic_finance
2025-02-19,-0.9718,0,1,1,historic_data_indic_finance
2025-02-21,-0.3454,0,1,2,historic_data_indic_finance
2025-02-22,0.05700000000000001,0,0,1,historic_data_indic_finance
2025-02-24,-0.06080000000000004,1,1,3,historic_data_indic_finance
2025-02-25,0.2641,1,0,3,historic_data_indic_finance
2025-02-27,0.8829,1,0,1,historic_data_indic_finance
2025-03-04,0.9009,1,0,1,historic_data_indic_finance
2025-03-05,-0.37445,0,1,2,historic_data_indic_finance
2025-03-11,-0.9593,0,1,1,historic_data_indic_finance
2025-03-12,-0.9633,0,2,2,historic_data_indic_finance
2025-03-13,-0.4486,0,1,2,historic_data_indic_finance
2025-03-15,-0.005500000000000005,0,0,1,historic_data_indic_finance
2025-03-17,0.48885,1,0,2,historic_data_indic_finance
2025-03-18,0.9509,1,0,1,historic_data_indic_finance
2025-03-20,0.9429,1,0,1,historic_data_indic_finance
2025-03-21,-0.3831,0,0,1,historic_data_indic_finance
2025-03-23,0.5488,1,0,1,historic_data_indic_finance
2025-03-24,0.9083,1,0,1,historic_data_indic_finance
2025-03-26,0.6131,1,0,1,historic_data_indic_finance
2025-04-02,-0.898,0,1,1,historic_data_indic_finance
2025-04-03,-0.6176333333333334,0,2,3,historic_data_indic_finance
2025-04-04,0.2091,0,0,1,historic_data_indic_finance
2025-04-07,0.2617333333333333,1,0,3,historic_data_indic_finance
2025-04-08,-0.8433,0,1,1,historic_data_indic_finance
2025-04-09,-0.27918333333333334,0,2,6,historic_data_indic_finance
2025-04-10,0.6838,1,0,1,historic_data_indic_finance
2025-04-11,0.6219333333333333,2,0,3,historic_data_indic_finance
2025-04-15,-0.41669999999999996,0,1,2,historic_data_indic_finance
2025-04-16,0.5184,1,0,2,historic_data_indic_finance
2025-04-19,0.051500000000000004,0,0,1,historic_data_indic_finance
2025-04-20,0.35650000000000004,0,0,2,historic_data_indic_finance
2025-04-23,0.5339,1,0,1,historic_data_indic_finance
2025-04-24,-0.010599999999999998,0,0,1,historic_data_indic_finance
2025-04-26,-0.41050000000000003,0,0,1,historic_data_indic_finance
2025-04-28,0.0668,0,0,1,historic_data_indic_finance
2025-04-29,-0.9617,0,1,1,historic_data_indic_finance
2025-04-30,0.4944,1,0,2,historic_data_indic_finance
2025-05-01,0.94505,2,0,2,historic_data_indic_finance
2025-05-02,-0.4687,0,1,1,historic_data_indic_finance
2025-05-05,-0.1181,0,0,2,historic_data_indic_finance
2025-05-06,-0.42810000000000004,0,1,2,historic_data_indic_finance
2025-05-07,0.024300000000000002,0,0,1,historic_data_indic_finance
2025-05-08,-0.37456,1,3,5,historic_data_indic_finance
2025-05-12,-0.9012666666666665,0,3,3,historic_data_indic_finance
2025-05-13,0.04838,2,1,5,historic_data_indic_finance
2025-05-14,0.09459999999999999,0,0,2,historic_data_indic_finance
2025-05-15,0.6199666666666667,2,0,3,historic_data_indic_finance
2025-05-16,0.5532,2,0,4,historic_data_indic_finance
2025-05-19,0.47182,4,1,5,historic_data_indic_finance
2025-05-21,-0.7519,0,2,2,historic_data_indic_finance
2025-05-22,-0.05620000000000003,1,1,2,historic_data_indic_finance
2025-05-23,0.9181,1,0,1,historic_data_indic_finance
2025-05-25,0.0587,0,0,1,historic_data_indic_finance
2025-05-26,0.1318,0,0,1,historic_data_indic_finance
2025-05-27,-0.055066666666666673,1,1,3,historic_data_indic_finance
2025-05-28,-0.45865,0,1,2,historic_data_indic_finance
2025-05-29,0.0503,0,0,1,historic_data_indic_finance
2025-05-30,0.16365000000000002,0,0,2,historic_data_indic_finance
2025-06-02,0.09864999999999999,0,0,2,historic_data_indic_finance
2025-06-03,0.4164,0,0,1,historic_data_indic_finance
2025-06-04,0.0682,0,0,3,historic_data_indic_finance
2025-06-05,0.801875,4,0,4,historic_data_indic_finance
2025-06-06,0.03172500000000001,1,1,4,historic_data_indic_finance
2025-06-07,-0.012700000000000003,0,0,1,historic_data_indic_finance
2025-06-08,0.0319,0,0,2,historic_data_indic_finance
2025-06-09,0.0991,0,0,1,historic_data_indic_finance
2025-06-10,-0.49365,0,1,2,historic_data_indic_finance
2025-06-11,0.09119999999999999,0,0,1,historic_data_indic_finance
2025-06-12,-0.3217666666666667,0,1,3,historic_data_indic_finance
2025-06-13,-0.25133333333333335,0,1,3,historic_data_indic_finance
2025-06-14,-0.9333,0,1,1,historic_data_indic_finance
2025-06-16,0.03675,0,0,2,historic_data_indic_finance
2025-06-17,-0.483825,0,2,4,historic_data_indic_finance
2025-06-18,0.43783333333333335,1,0,3,historic_data_indic_finance
2025-06-19,0.019299999999999998,0,0,1,historic_data_indic_finance
2025-06-20,0.3369,1,0,3,historic_data_indic_finance
2025-06-23,0.2768,0,0,1,historic_data_indic_finance
2025-06-24,0.6035600000000001,3,0,5,historic_data_indic_finance
2025-06-25,0.38194,2,0,5,historic_data_indic_finance
2025-06-26,-0.2592666666666667,0,1,3,historic_data_indic_finance
2025-06-27,0.17905,0,0,2,historic_data_indic_finance
2025-06-29,0.1015,0,0,1,historic_data_indic_finance
2025-06-30,0.35309999999999997,1,0,2,historic_data_indic_finance
2025-07-01,-0.44205,0,1,2,historic_data_indic_finance
2025-07-02,0.45485,2,0,4,historic_data_indic_finance
2025-07-03,-0.44787777777777776,1,5,9,historic_data_indic_finance
2025-07-04,-0.6385833333333333,0,5,6,historic_data_indic_finance
2025-07-05,0.0853,0,0,1,historic_data_indic_finance
2025-07-06,0.203,0,0,2,historic_data_indic_finance
2025-07-07,0.3164285714285714,4,2,7,historic_data_indic_finance
2025-07-08,-0.4460777777777778,0,5,9,historic_data_indic_finance
2025-07-09,0.45095,1,0,2,historic_data_indic_finance
2025-07-10,0.0932125,5,4,16,historic_data_indic_finance
2025-07-11,-0.12137499999999998,3,4,8,historic_data_indic_finance
2025-07-12,-0.47100000000000003,0,1,2,historic_data_indic_finance
2025-07-13,0.0022999999999999965,0,0,1,historic_data_indic_finance
2025-07-14,-0.22893333333333332,1,3,9,historic_data_indic_finance
2025-07-15,0.13151249999999998,2,1,8,historic_data_indic_finance
2025-07-16,0.19442500000000001,3,1,8,historic_data_indic_finance
2025-07-17,0.13545333333333334,3,1,15,historic_data_indic_finance
2025-07-18,0.09745,2,1,6,historic_data_indic_finance
2025-07-19,0.5764625,6,1,8,historic_data_indic_finance
2025-07-20,0.66806,4,0,5,historic_data_indic_finance
2025-07-21,-0.23503333333333332,1,5,12,historic_data_indic_finance
2025-07-22,0.014363157894736838,8,8,19,historic_data_indic_finance
2025-07-23,0.20190000000000002,2,1,4,historic_data_indic_finance
2025-07-24,-0.23542000000000002,1,2,5,historic_data_indic_finance
2025-07-25,-0.1502,2,4,9,historic_data_indic_finance
2025-07-26,0.05329999999999999,0,0,1,historic_data_indic_finance
2025-07-27,0.5480666666666666,2,0,3,historic_data_indic_finance
2025-07-28,-0.5537625,0,5,8,historic_data_indic_finance
2025-07-29,-0.19765000000000002,0,1,4,historic_data_indic_finance
2025-07-30,0.48541249999999997,6,0,8,historic_data_indic_finance
2025-07-31,0.5325714285714286,11,2,14,historic_data_indic_finance
2025-08-01,0.4056545454545455,6,1,11,historic_data_indic_finance
2025-08-02,-0.077425,1,1,4,historic_data_indic_finance
2025-08-03,-0.4024666666666667,0,1,3,historic_data_indic_finance
2025-08-04,0.073695,8,6,20,historic_data_indic_finance
2025-08-05,-0.1784125,1,2,8,historic_data_indic_finance
2025-08-06,-0.11655,2,4,12,historic_data_indic_finance
2025-08-07,0.33779999999999993,3,1,6,historic_data_indic_finance
2025-08-08,0.18367777777777775,2,1,9,historic_data_indic_finance
2025-08-09,0.07619999999999999,0,0,1,historic_data_indic_finance
2025-08-10,0.56555,1,0,2,historic_data_indic_finance
2025-08-11,0.04915,0,0,4,historic_data_indic_finance
2025-08-12,0.36598,2,0,5,historic_data_indic_finance
2025-08-13,0.5392666666666667,6,1,9,historic_data_indic_finance
2025-08-14,0.3784142857142857,4,1,7,historic_data_indic_finance
2025-08-16,0.02885,0,0,2,historic_data_indic_finance
2025-08-17,0.21715,1,1,2,historic_data_indic_finance
2025-08-18,0.56341875,10,0,16,historic_data_indic_finance
2025-08-19,0.4953666666666667,3,0,6,historic_data_indic_finance
2025-08-20,0.043833333333333356,0,0,3,historic_data_indic_finance
2025-08-21,0.7043333333333334,2,0,3,historic_data_indic_finance
2025-08-22,-0.06942500000000001,3,3,8,historic_data_indic_finance
2025-08-23,0.44345,1,0,2,historic_data_indic_finance
2025-08-24,0.06986666666666665,1,1,3,historic_data_indic_finance
2025-08-25,0.08383333333333336,0,0,3,historic_data_indic_finance
2025-08-26,-0.26922142857142856,2,7,14,historic_data_indic_finance
2025-08-27,-0.08605000000000002,0,0,2,historic_data_indic_finance
2025-08-28,-0.037633333333333324,3,3,9,historic_data_indic_finance
2025-08-29,0.20128000000000004,2,1,5,historic_data_indic_finance
2025-08-30,0.012999999999999998,0,0,1,historic_data_indic_finance
2025-08-31,0.13590000000000002,0,0,1,historic_data_indic_finance
2025-09-01,0.5864,3,0,5,historic_data_indic_finance
2025-09-02,0.19673333333333332,2,0,9,historic_data_indic_finance
2025-09-03,0.3965666666666667,4,0,9,historic_data_indic_finance
2025-09-04,0.5710227272727273,15,2,22,historic_data_indic_finance
2025-09-05,-0.22069999999999998,4,7,15,historic_data_indic_finance
2025-09-06,0.1543,1,1,2,historic_data_indic_finance
2025-09-07,0.0615,0,0,3,historic_data_indic_finance
2025-09-08,0.4032,7,0,16,historic_data_indic_finance
2025-09-09,0.2777777777777778,2,0,9,historic_data_indic_finance
2025-09-10,0.28518333333333334,4,1,12,historic_data_indic_finance
2025-09-11,-0.014433333333333334,0,0,3,historic_data_indic_finance
2025-09-12,0.22431428571428572,1,0,7,historic_data_indic_finance
2025-09-13,0.3448,1,0,3,historic_data_indic_finance
2025-09-14,0.3125,0,0,1,historic_data_indic_finance
2025-09-15,0.24914999999999998,4,2,12,historic_data_indic_finance
2025-09-16,0.2878777777777778,4,1,9,historic_data_indic_finance
2025-09-17,0.36218,5,1,10,historic_data_indic_finance
2025-09-18,0.5974285714285715,9,0,14,historic_data_indic_finance
2025-09-19,0.2041181818181818,4,2,11,historic_data_indic_finance
2025-09-20,-0.0164,0,0,3,historic_data_indic_finance
2025-09-21,0.12235,0,0,2,historic_data_indic_finance
2025-09-22,-0.06291739130434783,5,7,23,historic_data_indic_finance
2025-09-23,-0.1757578947368421,6,10,19,historic_data_indic_finance
2025-09-24,0.5193666666666668,6,0,9,historic_data_indic_finance
2025-09-25,-0.349595,3,11,20,historic_data_indic_finance
2025-09-26,-0.28909285714285715,2,6,14,historic_data_indic_finance
2025-09-28,0.187225,1,0,4,historic_data_indic_finance
2025-09-29,0.22536,4,2,10,historic_data_indic_finance
2025-09-30,0.6775,4,0,5,historic_data_indic_finance
2025-10-01,0.013858333333333334,2,3,12,historic_data_indic_finance
2025-10-02,0.34884,2,0,5,historic_data_indic_finance
2025-10-03,0.42255333333333334,7,1,15,historic_data_indic_finance
2025-10-05,0.26049999999999995,0,0,2,historic_data_indic_finance
2025-10-06,0.16564285714285715,14,9,28,historic_data_indic_finance
2025-10-07,0.07598,7,6,20,historic_data_indic_finance
2025-10-08,-0.11024375,9,12,32,historic_data_indic_finance
2025-10-09,0.24821724137931034,13,6,29,historic_data_indic_finance
2025-10-10,0.3105681818181818,13,4,22,historic_data_indic_finance
2025-10-11,0.3965818181818182,5,1,11,historic_data_indic_finance
2025-10-12,0.6128333333333333,2,0,3,historic_data_indic_finance
2025-10-13,-0.07594999999999999,8,10,28,historic_data_indic_finance
2025-10-14,0.16163750000000002,6,3,16,historic_data_indic_finance
2025-10-15,0.15094137931034482,14,9,29,historic_data_indic_finance
2025-10-16,-0.05036923076923076,7,7,26,historic_data_indic_finance
2025-10-17,-0.026576923076923074,9,10,26,historic_data_indic_finance
2025-10-18,0.4959357142857143,8,1,14,historic_data_indic_finance
2025-10-19,0.08866666666666667,3,2,6,historic_data_indic_finance
2025-10-20,-0.07597058823529412,3,5,17,historic_data_indic_finance
2025-10-21,0.0743,0,0,1,historic_data_indic_finance
2025-10-22,-0.4429666666666667,1,2,3,historic_data_indic_finance
2025-10-23,-0.03716774193548387,9,10,31,historic_data_indic_finance
2025-10-24,-0.04883333333333334,8,9,21,historic_data_indic_finance
2025-10-25,-0.05442500000000001,1,1,4,historic_data_indic_finance
2025-10-26,0.4658555555555556,4,0,9,historic_data_indic_finance
2025-10-27,0.23865,8,3,22,historic_data_indic_finance
2025-10-28,0.268425,6,1,16,historic_data_indic_finance
2025-10-29,0.48160499999999995,12,1,20,historic_data_indic_finance
2025-10-30,0.1352,9,6,20,historic_data_indic_finance
2025-10-31,-0.13307857142857143,5,9,28,historic_data_indic_finance
2025-11-01,0.2488,1,0,6,historic_data_indic_finance
2025-11-02,-0.18037692307692307,2,6,13,historic_data_indic_finance
2025-11-03,0.2335838709677419,14,7,31,historic_data_indic_finance
2025-11-04,0.24742564102564102,19,8,39,historic_data_indic_finance
2025-11-05,-0.1270277777777778,4,6,18,historic_data_indic_finance
2025-11-06,-0.2854170731707317,8,21,41,historic_data_indic_finance
2025-11-07,0.020567567567567568,14,12,37,historic_data_indic_finance
2025-11-08,0.397475,2,0,4,historic_data_indic_finance
2025-11-09,0.26597499999999996,3,1,8,historic_data_indic_finance
2025-11-10,0.15726153846153845,26,15,65,historic_data_indic_finance
2025-11-11,-0.16049722222222224,6,13,36,historic_data_indic_finance
2025-11-12,0.21644864864864863,15,7,37,historic_data_indic_finance
2025-11-13,0.39797999999999994,8,1,15,historic_data_indic_finance
2025-11-14,0.2542923076923077,9,2,26,historic_data_indic_finance
2025-11-15,0.060783333333333356,2,2,6,historic_data_indic_finance
2025-11-16,0.2700666666666667,0,0,3,historic_data_indic_finance
2025-11-17,0.1864185185185185,13,8,27,historic_data_indic_finance
2025-11-18,0.2909225806451613,15,6,31,historic_data_indic_finance
2025-11-19,0.32860666666666666,11,1,30,historic_data_indic_finance
2025-11-20,0.30803846153846154,10,1,26,historic_data_indic_finance
2025-11-21,0.2151241379310345,14,5,29,historic_data_indic_finance
2025-11-22,0.20207999999999998,1,0,5,historic_data_indic_finance
2025-11-23,-0.3202125,0,3,8,historic_data_indic_finance
2025-11-24,0.010138888888888883,11,10,36,historic_data_indic_finance
2025-11-25,0.05785151515151515,8,9,33,historic_data_indic_finance
2025-11-26,0.08569354838709677,10,7,31,historic_data_indic_finance
2025-11-27,0.3915,12,2,24,historic_data_indic_finance
2025-11-28,0.37215,9,1,24,historic_data_indic_finance
2025-11-29,0.39736666666666665,1,0,3,historic_data_indic_finance
2025-11-30,0.37448750000000003,5,1,8,historic_data_indic_finance
2025-12-01,0.24303055555555556,14,5,36,historic_data_indic_finance
2025-12-02,-0.01946,12,12,35,historic_data_indic_finance
2025-12-03,-0.06253793103448277,5,8,29,historic_data_indic_finance
2025-12-04,0.38831764705882355,9,0,17,historic_data_indic_finance
2025-12-05,-0.1711,6,8,19,historic_data_indic_finance
2025-12-06,0.28457,4,1,10,historic_data_indic_finance
2025-12-07,0.4182666666666666,2,0,3,historic_data_indic_finance
2025-12-08,-0.03007391304347827,6,6,23,historic_data_indic_finance
2025-12-09,0.10165454545454546,11,8,33,historic_data_indic_finance
2025-12-10,0.03190312500000001,8,7,32,historic_data_indic_finance
2025-12-11,0.15974583333333334,8,4,24,historic_data_indic_finance
2025-12-12,0.2040681818181818,10,5,22,historic_data_indic_finance
2025-12-13,0.004633333333333339,0,0,6,historic_data_indic_finance
2025-12-14,0.46421666666666667,3,0,6,historic_data_indic_finance
2025-12-15,-0.10064999999999999,8,11,32,historic_data_indic_finance
2025-12-16,-0.11497692307692307,13,20,52,historic_data_indic_finance
2025-12-17,0.05534390243902438,11,11,41,historic_data_indic_finance
2025-12-18,-0.12020625,6,11,32,historic_data_indic_finance
2025-12-19,0.1193103448275862,7,4,29,historic_data_indic_finance
2025-12-20,0.16736363636363635,2,0,11,historic_data_indic_finance
2025-12-21,0.296775,2,1,4,historic_data_indic_finance
2025-12-22,0.22598727272727273,18,6,55,historic_data_indic_finance
2025-12-23,0.22780344827586205,31,8,87,historic_data_indic_finance
2025-12-24,0.2149769230769231,8,3,26,historic_data_indic_finance
2025-12-25,0.1409875,5,3,16,historic_data_indic_finance
2025-12-26,0.18118205128205128,11,6,39,historic_data_indic_finance
2025-12-27,0.10895555555555554,2,1,9,historic_data_indic_finance
2025-12-28,0.03630833333333334,2,2,12,historic_data_indic_finance
2025-12-29,-0.10620285714285713,11,14,35,historic_data_indic_finance
2025-12-30,-0.01941538461538462,5,7,26,historic_data_indic_finance
2025-12-31,0.285895,16,5,40,historic_data_indic_finance
2026-01-01,0.12234374999999999,20,14,48,historic_data_indic_finance
