date,symbol,weight,in_index,source
2008-02-29,STER,1.9602,1.0,historic_data_figshare
2008-02-29,SUNPHARMA,0.82008,1.0,historic_data_figshare
2008-02-29,SUZLON,1.40014,1.0,historic_data_figshare
2008-02-29,TATAMOTORS,0.48005,1.0,historic_data_figshare
2008-02-29,TATAPOWER,0.89009,1.0,historic_data_figshare
2008-02-29,TATASTEEL,1.0201,1.0,historic_data_figshare
2008-02-29,TCS,1.94019,1.0,historic_data_figshare
2008-02-29,UNITECH,2.85029,1.0,historic_data_figshare
2008-02-29,VSNL,1.94019,1.0,historic_data_figshare
2008-02-29,WIPRO,2.12021,1.0,historic_data_figshare
2008-02-29,ZEEL,0.35004,1.0,historic_data_figshare
2008-04-01,ABB,0.88035,1.0,historic_data_figshare
2008-04-01,ACC,0.54022,1.0,historic_data_figshare
2008-04-01,AMBUJACEM,0.65026,1.0,historic_data_figshare
2008-04-01,BHARTIARTL,5.5022,1.0,historic_data_figshare
2008-04-01,BHEL,3.54142,1.0,historic_data_figshare
2008-04-01,BPCL,0.52021,1.0,historic_data_figshare
2008-04-01,CAIRN,1.40056,1.0,historic_data_figshare
2008-04-01,CIPLA,0.60024,1.0,historic_data_figshare
2008-04-01,DLF,3.86154,1.0,historic_data_figshare
2008-04-01,DRREDDY,0.35014,1.0,historic_data_figshare
2008-04-01,GAIL,1.2605,1.0,historic_data_figshare
2008-04-01,GRASIM,0.83033,1.0,historic_data_figshare
2008-04-01,HCLTECH,0.59024,1.0,historic_data_figshare
2008-04-01,HDFC,2.37095,1.0,historic_data_figshare
2008-04-01,HDFCBANK,1.66066,1.0,historic_data_figshare
2008-04-01,HEROMOTOCO,0.4902,1.0,historic_data_figshare
2008-04-01,HINDALCO,0.71028,1.0,historic_data_figshare
2008-04-01,HINDUNILVR,1.7507,1.0,historic_data_figshare
2008-04-01,ICICIBANK,3.0012,1.0,historic_data_figshare
2008-04-01,IDEA,0.95038,1.0,historic_data_figshare
2008-04-01,INFY,2.89116,1.0,historic_data_figshare
2008-04-01,ITC,2.73109,1.0,historic_data_figshare
2008-04-01,LT,3.11124,1.0,historic_data_figshare
2008-04-01,M&M,0.60024,1.0,historic_data_figshare
2008-04-01,MARUTI,0.84034,1.0,historic_data_figshare
2008-04-01,NATIONALUM,1.02041,1.0,historic_data_figshare
2008-04-01,NTPC,5.69228,1.0,historic_data_figshare
2008-04-01,ONGC,7.36295,1.0,historic_data_figshare
2008-04-01,PNB,0.56022,1.0,historic_data_figshare
2008-04-01,POWERGRID,1.45058,1.0,historic_data_figshare
2008-04-01,RANBAXY,0.57023,1.0,historic_data_figshare
2008-04-01,RCOM,3.69148,1.0,historic_data_figshare
