date,sentiment_mean,positive_count,negative_count,article_count,source
2017-04-02,0.27891848921999995,32,18,50,historic_data_news_sentiment
2017-04-03,-0.035897041402061854,93,101,194,historic_data_news_sentiment
2017-04-04,-0.19384048680503144,62,97,159,historic_data_news_sentiment
2017-04-05,-0.02499477152736318,98,103,201,historic_data_news_sentiment
2017-04-06,-0.018769752161490686,80,81,161,historic_data_news_sentiment
2017-04-07,-0.044806275027173915,89,95,184,historic_data_news_sentiment
2017-04-08,0.18136275022413795,36,22,58,historic_data_news_sentiment
2017-04-09,-0.08211066506382979,21,26,47,historic_data_news_sentiment
2017-04-10,-0.1288441155678392,87,112,199,historic_data_news_sentiment
2017-04-11,-0.08323267179487179,53,64,117,historic_data_news_sentiment
2017-04-12,-0.13206093247368422,82,108,190,historic_data_news_sentiment
2017-04-13,-0.141999604875,77,107,184,historic_data_news_sentiment
2017-04-14,-0.08069280344067796,27,32,59,historic_data_news_sentiment
2017-04-15,0.2838521294,23,12,35,historic_data_news_sentiment
2017-04-16,0.17446432687878788,20,13,33,historic_data_news_sentiment
2017-04-17,-0.2544904897009346,39,68,107,historic_data_news_sentiment
2017-04-18,-0.030887961713483143,86,92,178,historic_data_news_sentiment
2017-04-19,-0.14299105138775509,84,112,196,historic_data_news_sentiment
2017-04-20,-0.07770701009042554,88,100,188,historic_data_news_sentiment
2017-04-21,-0.19081828803478262,45,70,115,historic_data_news_sentiment
2017-04-22,0.13828213133898304,34,25,59,historic_data_news_sentiment
2017-04-23,-0.021200259265822786,37,42,79,historic_data_news_sentiment
2017-04-24,0.06806862326222222,122,103,225,historic_data_news_sentiment
2017-04-25,0.09743997768949772,122,97,219,historic_data_news_sentiment
2017-04-26,0.031011269778523493,77,72,149,historic_data_news_sentiment
2017-04-27,0.018284705603174602,98,91,189,historic_data_news_sentiment
2017-04-28,-0.05720434642647059,96,108,204,historic_data_news_sentiment
2017-04-29,-0.03819883166666667,28,32,60,historic_data_news_sentiment
2017-04-30,0.1301886322622951,35,26,61,historic_data_news_sentiment
2017-05-01,-0.0012736802586206873,28,30,58,historic_data_news_sentiment
2017-05-02,-0.0858144122173913,52,63,115,historic_data_news_sentiment
2017-05-03,-0.02234017532460733,94,97,191,historic_data_news_sentiment
2017-05-04,-0.03852624965608466,91,98,189,historic_data_news_sentiment
2017-05-05,-0.026845761545454542,71,72,143,historic_data_news_sentiment
2017-05-06,-0.02786592882352942,16,18,34,historic_data_news_sentiment
2017-05-07,-0.0292666075,22,24,46,historic_data_news_sentiment
2017-05-08,0.1632175843111111,107,73,180,historic_data_news_sentiment
2017-05-09,0.0974726424676617,112,89,201,historic_data_news_sentiment
2017-05-10,-0.12117997115816327,86,110,196,historic_data_news_sentiment
2017-05-11,-0.1447292135177305,59,82,141,historic_data_news_sentiment
2017-05-12,-0.09778564055319149,105,130,235,historic_data_news_sentiment
2017-05-13,0.38226253946268657,48,19,67,historic_data_news_sentiment
2017-05-14,-0.05575821066666666,26,31,57,historic_data_news_sentiment
2017-05-15,-0.04463385319555556,109,116,225,historic_data_news_sentiment
2017-05-16,0.03262921753658536,65,58,123,historic_data_news_sentiment
2017-05-17,-0.03720146333928571,110,114,224,historic_data_news_sentiment
2017-05-18,-0.036679918322404366,90,93,183,historic_data_news_sentiment
2017-05-19,-0.06581514627745665,81,92,173,historic_data_news_sentiment
2017-05-20,-0.06936341801587301,29,34,63,historic_data_news_sentiment
2017-05-21,0.3832033988387097,22,9,31,historic_data_news_sentiment
2017-05-22,-0.034667458752136754,56,61,117,historic_data_news_sentiment
2017-05-23,-0.02658619567142857,101,109,210,historic_data_news_sentiment
2017-05-24,-0.2574471724251497,61,106,167,historic_data_news_sentiment
2017-05-25,-0.07368275482938388,97,114,211,historic_data_news_sentiment
2017-05-26,-0.14476916258152175,79,105,184,historic_data_news_sentiment
2017-05-27,-0.17911601062903226,25,37,62,historic_data_news_sentiment
2017-05-28,0.09987950864102564,44,34,78,historic_data_news_sentiment
2017-05-29,-0.16180114590954775,84,115,199,historic_data_news_sentiment
2017-05-30,-0.12423259132857142,91,119,210,historic_data_news_sentiment
2017-05-31,-0.17328352269918698,51,72,123,historic_data_news_sentiment
2017-06-01,-0.32903732688732396,70,143,213,historic_data_news_sentiment
2017-06-02,-0.1896843877966805,96,145,241,historic_data_news_sentiment
2017-06-03,-0.23168825263529413,33,52,85,historic_data_news_sentiment
2017-06-04,-0.005814001685714289,52,53,105,historic_data_news_sentiment
