date,call_oi,put_oi,pcr,nifty_spot,ticks,source,source_file
2023-01-02,131.97297297297297,77.43243243243244,0.705840021945946,17855.495945945946,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-01-03,137.45045045045046,137.5045045045045,0.8508502173243243,17505.66891891892,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-01-06,230.65765765765767,228.22522522522522,0.8586472836576577,18615.196396396397,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-02-02,142.33009708737865,128.81553398058253,0.8368632240873786,17664.196116504852,103,historic_data_nifty_oi,nifty_oi_ data.csv
2023-02-03,209.1818181818182,165.4181818181818,0.7046552135181817,17431.164090909093,110,historic_data_nifty_oi,nifty_oi_ data.csv
2023-02-05,123.52252252252252,93.28828828828829,1.039390060117117,18225.879729729728,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-02-06,122.57657657657657,129.64864864864865,0.7060015319189189,18621.53918918919,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-03-02,66.61261261261261,70.89189189189189,0.8504067111711712,17763.056756756756,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-03-03,77.8256880733945,110.22935779816514,1.1383255520917432,17641.64036697248,109,historic_data_nifty_oi,nifty_oi_ data.csv
2023-03-04,104.58558558558559,88.93693693693693,0.9694806792252253,17430.48153153153,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-03-05,171.51351351351352,127.34234234234235,0.8016145601351352,18149.16846846847,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-03-07,128.00900900900902,120.38738738738739,1.3701113211441442,19391.418018018016,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-04-01,161.0,97.0,0.729385493,18190.25,1,historic_data_nifty_oi,nifty_oi_ data.csv
2023-04-05,239.36036036036037,216.64864864864865,1.0944605618198198,18226.308108108107,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-04-07,110.92792792792793,118.26126126126127,1.3753489377477477,19444.32747747748,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-05-01,195.0810810810811,131.76576576576576,0.5432101253423424,18054.660810810812,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-05-04,125.23423423423424,151.9009009009009,1.3702771519909909,17586.284684684684,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-05-05,130.23423423423424,85.96396396396396,0.716460807972973,18192.803603603603,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-05-06,134.54054054054055,131.3153153153153,0.8604271388738739,18711.977477477478,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-05-07,171.86363636363637,154.3,1.2287410004727273,19451.206363636364,110,historic_data_nifty_oi,nifty_oi_ data.csv
2023-06-01,131.981981981982,77.89189189189189,0.6783620573513514,17965.538738738738,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-06-02,103.72972972972973,65.78378378378379,0.7508298036216217,17793.984684684685,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-06-03,92.54545454545455,92.00909090909092,1.151908784590909,17817.444545454546,110,historic_data_nifty_oi,nifty_oi_ data.csv
2023-06-04,193.72972972972974,203.81981981981983,1.2839493089009009,17656.29009009009,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-06-06,180.00900900900902,113.4054054054054,0.677555958054054,18634.82162162162,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-06-07,236.92792792792793,240.018018018018,1.2337968398198198,19512.394594594592,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-07-02,118.53153153153153,72.92792792792793,0.6955159676756757,17782.695945945947,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-07-06,140.1891891891892,200.3963963963964,1.081050126072072,18755.757207207207,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-07-07,133.84684684684686,88.24324324324324,0.8338901291891891,19448.146846846845,111,historic_data_nifty_oi,nifty_oi_ data.csv
2023-08-02,124.87387387387388,120.98198198198199,1.0421090784234235,17902.02207207207,111,historic_data_nifty_oi,nifty_oi_ data.csv
