date,fii_net,dii_net,nifty_pcr,source,variant,dii_buy,dii_sell,fii_buy,fii_sell,granularity,fii_idx_fut_long,is_fo_monthly_expiry,fii_net_raw,fii_net_settlement_adj,dii_net_raw,dii_net_settlement_adj,fii_fut_long_short_ratio,fii_idx_fut_short,fii_idx_put_oi,fii_idx_call_oi
2007-05-12,480.18,-159.71,,historic_data_fii_dii,combined,1454.28,1613.99,5168.38,4688.2,daily,,False,480.18,480.18,-159.71,-159.71,,,,
2007-05-14,-85.32,1.79,,historic_data_fii_dii,combined,769.03,767.24,1745.02,1830.34,daily,,False,-85.32,-85.32,1.79,1.79,,,,
2007-05-15,-283.63,-59.9,,historic_data_fii_dii,combined,800.19,860.09,1931.89,2215.52,daily,,False,-283.63,-283.63,-59.9,-59.9,,,,
2007-05-16,-245.15,403.49,,historic_data_fii_dii,combined,1360.92,957.43,2388.27,2633.42,daily,,False,-245.15,-245.15,403.49,403.49,,,,
2007-05-17,517.75,634.66,,historic_data_fii_dii,combined,1626.5,991.84,3503.38,2985.63,daily,,False,517.75,517.75,634.66,634.66,,,,
2007-05-18,56.64,58.05,,historic_data_fii_dii,combined,798.98,740.93,2238.8,2182.16,daily,,False,56.64,56.64,58.05,58.05,,,,
2007-05-21,182.66,257.93,,historic_data_fii_dii,combined,1330.32,1072.39,2371.95,2189.29,daily,,False,182.66,182.66,257.93,257.93,,,,
2007-05-22,340.56,-127.82,,historic_data_fii_dii,combined,1196.79,1324.61,3095.1,2754.54,daily,,False,340.56,340.56,-127.82,-127.82,,,,
2007-05-23,96.58,87.94,,historic_data_fii_dii,combined,1034.78,946.84,2496.02,2399.44,daily,,False,96.58,96.58,87.94,87.94,,,,
2007-05-24,-160.31,-136.3,,historic_data_fii_dii,combined,889.29,1025.59,1877.4,2037.71,daily,,False,-160.31,-160.31,-136.3,-136.3,,,,
2007-05-25,-204.25,171.49,,historic_data_fii_dii,combined,836.96,665.47,2498.54,2702.79,daily,,False,-204.25,-204.25,171.49,171.49,,,,
2007-05-28,180.65,46.94,,historic_data_fii_dii,combined,1077.57,1002.83,1795.7,1615.05,daily,,False,180.65,180.65,46.94,46.94,,,,
2007-05-29,697.96,-124.14,,historic_data_fii_dii,combined,848.24,972.38,2172.71,1474.75,daily,,False,697.96,697.96,-124.14,-124.14,,,,
2007-05-30,-598.51,561.87,,historic_data_fii_dii,combined,1349.85,787.98,2350.87,2949.38,daily,,False,-598.51,-598.51,561.87,561.87,,,,
2007-05-31,-160.31,46.94,,historic_data_fii_dii,combined,1340.53,1308.34,3287.23,3118.37,daily,,True,168.86,-160.31,32.19,46.94,,,,
2007-06-06,-230.97,355.44,,historic_data_fii_dii,combined,1126.64,771.2,2226.8,2457.77,daily,,False,-230.97,-230.97,355.44,355.44,,,,
2007-06-07,541.39,16.39,,historic_data_fii_dii,combined,1164.47,1148.08,2843.63,2302.24,daily,,False,541.39,541.39,16.39,16.39,,,,
2007-06-08,-1395.0,500.69,,historic_data_fii_dii,combined,980.15,479.46,1638.28,3033.28,daily,,False,-1395.0,-1395.0,500.69,500.69,,,,
2007-06-09,311.37,-8.26,,historic_data_fii_dii,combined,841.01,849.27,2275.51,1964.14,daily,,False,311.37,311.37,-8.26,-8.26,,,,
2007-06-11,7.62,206.56,,historic_data_fii_dii,combined,1297.81,1091.25,4163.08,4155.46,daily,,False,7.62,7.62,206.56,206.56,,,,
2007-06-12,492.1,227.54,,historic_data_fii_dii,combined,1649.03,1421.49,4855.4,4363.3,daily,,False,492.1,492.1,227.54,227.54,,,,
2007-06-13,-294.16,331.48,,historic_data_fii_dii,combined,863.21,531.73,1706.7,2000.86,daily,,False,-294.16,-294.16,331.48,331.48,,,,
2007-06-14,34.13,32.57,,historic_data_fii_dii,combined,527.4,494.83,2610.38,2576.25,daily,,False,34.13,34.13,32.57,32.57,,,,
